accuracy,filter_size,leaky_relu,learning_rate,n_filters,p_dropout,search_type,stride,weight_decay
0.258,1.0,0.0,1e-05,16.0,0.5,grid,1.0,1e-05
0.258,1.0,0.0,1e-05,16.0,0.5,grid,1.0,0.001
0.1,1.0,0.0,1e-05,16.0,0.5,grid,3.0,1e-05
0.1,1.0,0.0,1e-05,16.0,0.5,grid,3.0,0.001
0.264,1.0,0.0,1e-05,16.0,0.25,grid,1.0,1e-05
0.264,1.0,0.0,1e-05,16.0,0.25,grid,1.0,0.001
0.1,1.0,0.0,1e-05,16.0,0.25,grid,3.0,1e-05
0.1,1.0,0.0,1e-05,16.0,0.25,grid,3.0,0.001
0.2703,1.0,0.0,1e-05,16.0,0.0,grid,1.0,1e-05
0.2703,1.0,0.0,1e-05,16.0,0.0,grid,1.0,0.001
0.1,1.0,0.0,1e-05,16.0,0.0,grid,3.0,1e-05
0.1,1.0,0.0,1e-05,16.0,0.0,grid,3.0,0.001
0.3737,1.0,0.0,1e-05,64.0,0.5,grid,1.0,1e-05
0.3737,1.0,0.0,1e-05,64.0,0.5,grid,1.0,0.001
0.1,1.0,0.0,1e-05,64.0,0.5,grid,3.0,1e-05
0.1,1.0,0.0,1e-05,64.0,0.5,grid,3.0,0.001
0.3777,1.0,0.0,1e-05,64.0,0.25,grid,1.0,1e-05
0.3777,1.0,0.0,1e-05,64.0,0.25,grid,1.0,0.001
0.1,1.0,0.0,1e-05,64.0,0.25,grid,3.0,1e-05
0.1,1.0,0.0,1e-05,64.0,0.25,grid,3.0,0.001
0.3795,1.0,0.0,1e-05,64.0,0.0,grid,1.0,1e-05
0.3795,1.0,0.0,1e-05,64.0,0.0,grid,1.0,0.001
0.1,1.0,0.0,1e-05,64.0,0.0,grid,3.0,1e-05
0.1,1.0,0.0,1e-05,64.0,0.0,grid,3.0,0.001
0.4079,1.0,0.0,1e-05,128.0,0.5,grid,1.0,1e-05
0.4079,1.0,0.0,1e-05,128.0,0.5,grid,1.0,0.001
0.1,1.0,0.0,1e-05,128.0,0.5,grid,3.0,1e-05
0.1,1.0,0.0,1e-05,128.0,0.5,grid,3.0,0.001
0.4107,1.0,0.0,1e-05,128.0,0.25,grid,1.0,1e-05
0.4107,1.0,0.0,1e-05,128.0,0.25,grid,1.0,0.001
0.1,1.0,0.0,1e-05,128.0,0.25,grid,3.0,1e-05
0.1,1.0,0.0,1e-05,128.0,0.25,grid,3.0,0.001
0.4135,1.0,0.0,1e-05,128.0,0.0,grid,1.0,1e-05
0.4135,1.0,0.0,1e-05,128.0,0.0,grid,1.0,0.001
0.1,1.0,0.0,1e-05,128.0,0.0,grid,3.0,1e-05
0.1,1.0,0.0,1e-05,128.0,0.0,grid,3.0,0.001
0.3777,1.0,0.0,0.0001,16.0,0.5,grid,1.0,1e-05
0.3818,1.0,0.0,0.0001,16.0,0.5,grid,1.0,0.001
0.1,1.0,0.0,0.0001,16.0,0.5,grid,3.0,1e-05
0.1,1.0,0.0,0.0001,16.0,0.5,grid,3.0,0.001
0.3827,1.0,0.0,0.0001,16.0,0.25,grid,1.0,1e-05
0.3815,1.0,0.0,0.0001,16.0,0.25,grid,1.0,0.001
0.1,1.0,0.0,0.0001,16.0,0.25,grid,3.0,1e-05
0.1,1.0,0.0,0.0001,16.0,0.25,grid,3.0,0.001
0.3841,1.0,0.0,0.0001,16.0,0.0,grid,1.0,1e-05
0.3831,1.0,0.0,0.0001,16.0,0.0,grid,1.0,0.001
0.1,1.0,0.0,0.0001,16.0,0.0,grid,3.0,1e-05
0.1,1.0,0.0,0.0001,16.0,0.0,grid,3.0,0.001
0.4619,1.0,0.0,0.0001,64.0,0.5,grid,1.0,1e-05
0.4614,1.0,0.0,0.0001,64.0,0.5,grid,1.0,0.001
0.1,1.0,0.0,0.0001,64.0,0.5,grid,3.0,1e-05
0.1,1.0,0.0,0.0001,64.0,0.5,grid,3.0,0.001
0.4607,1.0,0.0,0.0001,64.0,0.25,grid,1.0,1e-05
0.462,1.0,0.0,0.0001,64.0,0.25,grid,1.0,0.001
0.1,1.0,0.0,0.0001,64.0,0.25,grid,3.0,1e-05
0.1,1.0,0.0,0.0001,64.0,0.25,grid,3.0,0.001
0.4612,1.0,0.0,0.0001,64.0,0.0,grid,1.0,1e-05
0.4611,1.0,0.0,0.0001,64.0,0.0,grid,1.0,0.001
0.1,1.0,0.0,0.0001,64.0,0.0,grid,3.0,1e-05
0.1,1.0,0.0,0.0001,64.0,0.0,grid,3.0,0.001
0.4629,1.0,0.0,0.0001,128.0,0.5,grid,1.0,1e-05
0.4634,1.0,0.0,0.0001,128.0,0.5,grid,1.0,0.001
0.1,1.0,0.0,0.0001,128.0,0.5,grid,3.0,1e-05
0.1,1.0,0.0,0.0001,128.0,0.5,grid,3.0,0.001
0.4626,1.0,0.0,0.0001,128.0,0.25,grid,1.0,1e-05
0.4632,1.0,0.0,0.0001,128.0,0.25,grid,1.0,0.001
0.1,1.0,0.0,0.0001,128.0,0.25,grid,3.0,1e-05
0.1,1.0,0.0,0.0001,128.0,0.25,grid,3.0,0.001
0.464,1.0,0.0,0.0001,128.0,0.0,grid,1.0,1e-05
0.4656,1.0,0.0,0.0001,128.0,0.0,grid,1.0,0.001
0.1,1.0,0.0,0.0001,128.0,0.0,grid,3.0,1e-05
0.1,1.0,0.0,0.0001,128.0,0.0,grid,3.0,0.001
0.1,1.0,0.0,0.1,16.0,0.5,grid,1.0,1e-05
0.1,1.0,0.0,0.1,16.0,0.5,grid,1.0,0.001
0.1,1.0,0.0,0.1,16.0,0.5,grid,3.0,1e-05
0.1,1.0,0.0,0.1,16.0,0.5,grid,3.0,0.001
0.1,1.0,0.0,0.1,16.0,0.25,grid,1.0,1e-05
0.1,1.0,0.0,0.1,16.0,0.25,grid,1.0,0.001
0.1,1.0,0.0,0.1,16.0,0.25,grid,3.0,1e-05
0.1,1.0,0.0,0.1,16.0,0.25,grid,3.0,0.001
0.1,1.0,0.0,0.1,16.0,0.0,grid,1.0,1e-05
0.1,1.0,0.0,0.1,16.0,0.0,grid,1.0,0.001
0.1,1.0,0.0,0.1,16.0,0.0,grid,3.0,1e-05
0.1,1.0,0.0,0.1,16.0,0.0,grid,3.0,0.001
0.1,1.0,0.0,0.1,64.0,0.5,grid,1.0,1e-05
0.1,1.0,0.0,0.1,64.0,0.5,grid,1.0,0.001
0.1,1.0,0.0,0.1,64.0,0.5,grid,3.0,1e-05
0.1,1.0,0.0,0.1,64.0,0.5,grid,3.0,0.001
0.1,1.0,0.0,0.1,64.0,0.25,grid,1.0,1e-05
0.1,1.0,0.0,0.1,64.0,0.25,grid,1.0,0.001
0.1,1.0,0.0,0.1,64.0,0.25,grid,3.0,1e-05
0.1,1.0,0.0,0.1,64.0,0.25,grid,3.0,0.001
0.1,1.0,0.0,0.1,64.0,0.0,grid,1.0,1e-05
0.1,1.0,0.0,0.1,64.0,0.0,grid,1.0,0.001
0.1,1.0,0.0,0.1,64.0,0.0,grid,3.0,1e-05
0.1,1.0,0.0,0.1,64.0,0.0,grid,3.0,0.001
0.1,1.0,0.0,0.1,128.0,0.5,grid,1.0,1e-05
0.1,1.0,0.0,0.1,128.0,0.5,grid,1.0,0.001
0.1,1.0,0.0,0.1,128.0,0.5,grid,3.0,1e-05
0.1,1.0,0.0,0.1,128.0,0.5,grid,3.0,0.001
0.1,1.0,0.0,0.1,128.0,0.25,grid,1.0,1e-05
0.1,1.0,0.0,0.1,128.0,0.25,grid,1.0,0.001
0.1,1.0,0.0,0.1,128.0,0.25,grid,3.0,1e-05
0.1,1.0,0.0,0.1,128.0,0.25,grid,3.0,0.001
0.1,1.0,0.0,0.1,128.0,0.0,grid,1.0,1e-05
0.1,1.0,0.0,0.1,128.0,0.0,grid,1.0,0.001
0.1,1.0,0.0,0.1,128.0,0.0,grid,3.0,1e-05
0.1,1.0,0.0,0.1,128.0,0.0,grid,3.0,0.001
0.2562,1.0,1.0,1e-05,16.0,0.5,grid,1.0,1e-05
0.2562,1.0,1.0,1e-05,16.0,0.5,grid,1.0,0.001
0.1,1.0,1.0,1e-05,16.0,0.5,grid,3.0,1e-05
0.1,1.0,1.0,1e-05,16.0,0.5,grid,3.0,0.001
0.2628,1.0,1.0,1e-05,16.0,0.25,grid,1.0,1e-05
0.2628,1.0,1.0,1e-05,16.0,0.25,grid,1.0,0.001
0.1,1.0,1.0,1e-05,16.0,0.25,grid,3.0,1e-05
0.1,1.0,1.0,1e-05,16.0,0.25,grid,3.0,0.001
0.27,1.0,1.0,1e-05,16.0,0.0,grid,1.0,1e-05
0.27,1.0,1.0,1e-05,16.0,0.0,grid,1.0,0.001
0.1,1.0,1.0,1e-05,16.0,0.0,grid,3.0,1e-05
0.1,1.0,1.0,1e-05,16.0,0.0,grid,3.0,0.001
0.3739,1.0,1.0,1e-05,64.0,0.5,grid,1.0,1e-05
0.3739,1.0,1.0,1e-05,64.0,0.5,grid,1.0,0.001
0.1,1.0,1.0,1e-05,64.0,0.5,grid,3.0,1e-05
0.1,1.0,1.0,1e-05,64.0,0.5,grid,3.0,0.001
0.3776,1.0,1.0,1e-05,64.0,0.25,grid,1.0,1e-05
0.3776,1.0,1.0,1e-05,64.0,0.25,grid,1.0,0.001
0.1,1.0,1.0,1e-05,64.0,0.25,grid,3.0,1e-05
0.1,1.0,1.0,1e-05,64.0,0.25,grid,3.0,0.001
0.3821,1.0,1.0,1e-05,64.0,0.0,grid,1.0,1e-05
0.3821,1.0,1.0,1e-05,64.0,0.0,grid,1.0,0.001
0.1,1.0,1.0,1e-05,64.0,0.0,grid,3.0,1e-05
0.1,1.0,1.0,1e-05,64.0,0.0,grid,3.0,0.001
0.4059,1.0,1.0,1e-05,128.0,0.5,grid,1.0,1e-05
