accuracy,max_depth,max_features,min_samples_leaf,min_samples_split,search_type
0.491,25.0,sqrt,1.0,2.0,grid
0.48915,25.0,sqrt,1.0,9.0,grid
0.48945,25.0,sqrt,1.0,16.0,grid
0.49560000000000004,25.0,sqrt,1.0,23.0,grid
0.50005,25.0,sqrt,1.0,30.0,grid
0.502,25.0,sqrt,1.0,37.0,grid
0.5085,25.0,sqrt,1.0,44.0,grid
0.52,25.0,sqrt,16.0,2.0,grid
0.52,25.0,sqrt,16.0,9.0,grid
0.52,25.0,sqrt,16.0,16.0,grid
0.52,25.0,sqrt,16.0,23.0,grid
0.52,25.0,sqrt,16.0,30.0,grid
0.52555,25.0,sqrt,16.0,37.0,grid
0.52005,25.0,sqrt,16.0,44.0,grid
0.5271,25.0,sqrt,31.0,2.0,grid
0.5271,25.0,sqrt,31.0,9.0,grid
0.5271,25.0,sqrt,31.0,16.0,grid
0.5271,25.0,sqrt,31.0,23.0,grid
0.5271,25.0,sqrt,31.0,30.0,grid
0.5271,25.0,sqrt,31.0,37.0,grid
0.5271,25.0,sqrt,31.0,44.0,grid
0.5333,25.0,sqrt,46.0,2.0,grid
0.5333,25.0,sqrt,46.0,9.0,grid
0.5333,25.0,sqrt,46.0,16.0,grid
0.5333,25.0,sqrt,46.0,23.0,grid
0.5333,25.0,sqrt,46.0,30.0,grid
0.5333,25.0,sqrt,46.0,37.0,grid
0.5333,25.0,sqrt,46.0,44.0,grid
0.52945,25.0,sqrt,61.0,2.0,grid
0.52945,25.0,sqrt,61.0,9.0,grid
0.52945,25.0,sqrt,61.0,16.0,grid
0.52945,25.0,sqrt,61.0,23.0,grid
0.52945,25.0,sqrt,61.0,30.0,grid
0.52945,25.0,sqrt,61.0,37.0,grid
0.52945,25.0,sqrt,61.0,44.0,grid
0.5264,25.0,sqrt,76.0,2.0,grid
0.5264,25.0,sqrt,76.0,9.0,grid
0.5264,25.0,sqrt,76.0,16.0,grid
0.5264,25.0,sqrt,76.0,23.0,grid
0.5264,25.0,sqrt,76.0,30.0,grid
0.5264,25.0,sqrt,76.0,37.0,grid
0.5264,25.0,sqrt,76.0,44.0,grid
0.52675,25.0,sqrt,91.0,2.0,grid
0.52675,25.0,sqrt,91.0,9.0,grid
0.52675,25.0,sqrt,91.0,16.0,grid
