accuracy,hidden_size,leaky_relu,learning_rate,num_layers,p_dropout,search_type,weight_decay
0.4393,4000.0,0.0,1e-05,3.0,0.5,grid,1e-05
0.4393,4000.0,0.0,1e-05,3.0,0.5,grid,0.001
0.4389,4000.0,0.0,1e-05,3.0,0.5,grid,0.01
0.5011,4000.0,0.0,1e-05,3.0,0.0,grid,1e-05
0.5011,4000.0,0.0,1e-05,3.0,0.0,grid,0.001
0.501,4000.0,0.0,1e-05,3.0,0.0,grid,0.01
0.4753,4000.0,0.0,1e-05,2.0,0.5,grid,1e-05
0.4753,4000.0,0.0,1e-05,2.0,0.5,grid,0.001
0.4763,4000.0,0.0,1e-05,2.0,0.5,grid,0.01
0.4823,4000.0,0.0,1e-05,2.0,0.0,grid,1e-05
0.4823,4000.0,0.0,1e-05,2.0,0.0,grid,0.001
0.4819,4000.0,0.0,1e-05,2.0,0.0,grid,0.01
0.3535,4000.0,0.0,1e-05,1.0,0.5,grid,1e-05
0.3535,4000.0,0.0,1e-05,1.0,0.5,grid,0.001
0.3535,4000.0,0.0,1e-05,1.0,0.5,grid,0.01
0.3724,4000.0,0.0,1e-05,1.0,0.0,grid,1e-05
0.3724,4000.0,0.0,1e-05,1.0,0.0,grid,0.001
0.3724,4000.0,0.0,1e-05,1.0,0.0,grid,0.01
0.1469,4000.0,0.0,0.0001,3.0,0.5,grid,1e-05
0.1558,4000.0,0.0,0.0001,3.0,0.5,grid,0.001
0.1,4000.0,0.0,0.0001,3.0,0.5,grid,0.01
0.3781,4000.0,0.0,0.0001,3.0,0.0,grid,1e-05
0.4826,4000.0,0.0,0.0001,3.0,0.0,grid,0.001
0.4402,4000.0,0.0,0.0001,3.0,0.0,grid,0.01
0.2586,4000.0,0.0,0.0001,2.0,0.5,grid,1e-05
0.1928,4000.0,0.0,0.0001,2.0,0.5,grid,0.001
0.2329,4000.0,0.0,0.0001,2.0,0.5,grid,0.01
0.4344,4000.0,0.0,0.0001,2.0,0.0,grid,1e-05
0.4353,4000.0,0.0,0.0001,2.0,0.0,grid,0.001
0.481,4000.0,0.0,0.0001,2.0,0.0,grid,0.01
0.3821,4000.0,0.0,0.0001,1.0,0.5,grid,1e-05
0.3816,4000.0,0.0,0.0001,1.0,0.5,grid,0.001
0.3811,4000.0,0.0,0.0001,1.0,0.5,grid,0.01
0.4058,4000.0,0.0,0.0001,1.0,0.0,grid,1e-05
0.4071,4000.0,0.0,0.0001,1.0,0.0,grid,0.001
0.4058,4000.0,0.0,0.0001,1.0,0.0,grid,0.01
0.1,4000.0,0.0,0.001,3.0,0.5,grid,1e-05
0.1,4000.0,0.0,0.001,3.0,0.5,grid,0.001
0.1,4000.0,0.0,0.001,3.0,0.5,grid,0.01
0.1,4000.0,0.0,0.001,3.0,0.0,grid,1e-05
0.1,4000.0,0.0,0.001,3.0,0.0,grid,0.001
0.1,4000.0,0.0,0.001,3.0,0.0,grid,0.01
0.1,4000.0,0.0,0.001,2.0,0.5,grid,1e-05
0.1,4000.0,0.0,0.001,2.0,0.5,grid,0.001
0.1,4000.0,0.0,0.001,2.0,0.5,grid,0.01
0.1,4000.0,0.0,0.001,2.0,0.0,grid,1e-05
0.1,4000.0,0.0,0.001,2.0,0.0,grid,0.001
0.1,4000.0,0.0,0.001,2.0,0.0,grid,0.01
0.2519,4000.0,0.0,0.001,1.0,0.5,grid,1e-05
0.2821,4000.0,0.0,0.001,1.0,0.5,grid,0.001
0.2718,4000.0,0.0,0.001,1.0,0.5,grid,0.01
0.3631,4000.0,0.0,0.001,1.0,0.0,grid,1e-05
0.3743,4000.0,0.0,0.001,1.0,0.0,grid,0.001
0.3658,4000.0,0.0,0.001,1.0,0.0,grid,0.01
0.1,4000.0,0.0,0.01,3.0,0.5,grid,1e-05
0.1,4000.0,0.0,0.01,3.0,0.5,grid,0.001
0.1,4000.0,0.0,0.01,3.0,0.5,grid,0.01
0.1,4000.0,0.0,0.01,3.0,0.0,grid,1e-05
0.1,4000.0,0.0,0.01,3.0,0.0,grid,0.001
0.1,4000.0,0.0,0.01,3.0,0.0,grid,0.01
0.1,4000.0,0.0,0.01,2.0,0.5,grid,1e-05
0.1,4000.0,0.0,0.01,2.0,0.5,grid,0.001
0.1,4000.0,0.0,0.01,2.0,0.5,grid,0.01
0.1,4000.0,0.0,0.01,2.0,0.0,grid,1e-05
0.1,4000.0,0.0,0.01,2.0,0.0,grid,0.001
0.1,4000.0,0.0,0.01,2.0,0.0,grid,0.01
0.0975,4000.0,0.0,0.01,1.0,0.5,grid,1e-05
0.12,4000.0,0.0,0.01,1.0,0.5,grid,0.001
0.1142,4000.0,0.0,0.01,1.0,0.5,grid,0.01
0.128,4000.0,0.0,0.01,1.0,0.0,grid,1e-05
0.1558,4000.0,0.0,0.01,1.0,0.0,grid,0.001
0.1591,4000.0,0.0,0.01,1.0,0.0,grid,0.01
0.4883,4000.0,1.0,1e-05,3.0,0.5,grid,1e-05
0.4883,4000.0,1.0,1e-05,3.0,0.5,grid,0.001
0.4896,4000.0,1.0,1e-05,3.0,0.5,grid,0.01
0.5003,4000.0,1.0,1e-05,3.0,0.0,grid,1e-05
0.5003,4000.0,1.0,1e-05,3.0,0.0,grid,0.001
0.5001,4000.0,1.0,1e-05,3.0,0.0,grid,0.01
0.4754,4000.0,1.0,1e-05,2.0,0.5,grid,1e-05
0.4754,4000.0,1.0,1e-05,2.0,0.5,grid,0.001
0.4734,4000.0,1.0,1e-05,2.0,0.5,grid,0.01
0.4818,4000.0,1.0,1e-05,2.0,0.0,grid,1e-05
0.4818,4000.0,1.0,1e-05,2.0,0.0,grid,0.001
0.4822,4000.0,1.0,1e-05,2.0,0.0,grid,0.01
0.3542,4000.0,1.0,1e-05,1.0,0.5,grid,1e-05
0.3542,4000.0,1.0,1e-05,1.0,0.5,grid,0.001
0.3541,4000.0,1.0,1e-05,1.0,0.5,grid,0.01
0.3723,4000.0,1.0,1e-05,1.0,0.0,grid,1e-05
0.3723,4000.0,1.0,1e-05,1.0,0.0,grid,0.001
0.3723,4000.0,1.0,1e-05,1.0,0.0,grid,0.01
0.409,4000.0,1.0,0.0001,3.0,0.5,grid,1e-05
0.3988,4000.0,1.0,0.0001,3.0,0.5,grid,0.001
0.3545,4000.0,1.0,0.0001,3.0,0.5,grid,0.01
0.532,4000.0,1.0,0.0001,3.0,0.0,grid,1e-05
0.5318,4000.0,1.0,0.0001,3.0,0.0,grid,0.001
0.5329,4000.0,1.0,0.0001,3.0,0.0,grid,0.01
0.4048,4000.0,1.0,0.0001,2.0,0.5,grid,1e-05
0.4035,4000.0,1.0,0.0001,2.0,0.5,grid,0.001
0.3842,4000.0,1.0,0.0001,2.0,0.5,grid,0.01
0.5164,4000.0,1.0,0.0001,2.0,0.0,grid,1e-05
0.5172,4000.0,1.0,0.0001,2.0,0.0,grid,0.001
0.5173,4000.0,1.0,0.0001,2.0,0.0,grid,0.01
0.3817,4000.0,1.0,0.0001,1.0,0.5,grid,1e-05
0.3816,4000.0,1.0,0.0001,1.0,0.5,grid,0.001
