accuracy,n_neighbors,p,search_type,weights
0.5705,2.0,1.0,grid,uniform
0.6153500000000001,2.0,1.0,grid,distance
0.5518,2.0,2.0,grid,uniform
0.5936999999999999,2.0,2.0,grid,distance
0.62065,8.0,1.0,grid,uniform
0.63345,8.0,1.0,grid,distance
0.5956999999999999,8.0,2.0,grid,uniform
0.6052,8.0,2.0,grid,distance
0.6199,14.0,1.0,grid,uniform
0.6284,14.0,1.0,grid,distance
0.5887499999999999,14.0,2.0,grid,uniform
0.5982999999999999,14.0,2.0,grid,distance
0.6144,20.0,1.0,grid,uniform
0.6213,20.0,1.0,grid,distance
0.5821,20.0,2.0,grid,uniform
0.58895,20.0,2.0,grid,distance
0.609,26.0,1.0,grid,uniform
0.61455,26.0,1.0,grid,distance
0.5788,26.0,2.0,grid,uniform
0.5828,26.0,2.0,grid,distance
0.60515,32.0,1.0,grid,uniform
0.6100999999999999,32.0,1.0,grid,distance
0.57305,32.0,2.0,grid,uniform
0.57675,32.0,2.0,grid,distance
0.60125,38.0,1.0,grid,uniform
0.6060000000000001,38.0,1.0,grid,distance
0.56985,38.0,2.0,grid,uniform
0.5730999999999999,38.0,2.0,grid,distance
0.60695,28.0,1.0,random,uniform
0.61195,29.0,1.0,random,distance
0.57675,32.0,2.0,random,distance
0.5772499999999999,31.0,2.0,random,distance
0.6053499999999999,29.0,1.0,random,uniform
0.6212,10.0,1.0,random,uniform
0.5727500000000001,39.0,2.0,random,distance
0.6075,37.0,1.0,random,distance
0.59795,7.0,2.0,random,uniform
0.59925,12.0,2.0,random,distance
0.6275999999999999,3.0,1.0,random,distance
0.6284,14.0,1.0,random,distance
0.59245,11.0,2.0,random,uniform
0.6174499999999999,24.0,1.0,random,distance
0.60515,32.0,1.0,random,uniform
0.587,15.0,2.0,random,uniform
0.6052,8.0,2.0,random,distance
0.6363,5.0,1.0,random,distance
0.5828,26.0,2.0,random,distance
0.6153500000000001,19.0,1.0,random,uniform
0.61475,4.0,1.0,random,uniform
0.6199,14.0,1.0,random,uniform
0.6231500000000001,12.0,1.0,random,uniform
0.6311,10.0,1.0,random,distance
0.6089,33.0,1.0,random,distance
0.61455,26.0,1.0,random,distance
0.5518,2.0,2.0,random,uniform
0.57575,34.0,2.0,random,distance
0.6012,11.0,2.0,bayes,distance
0.61195,29.0,1.0,bayes,distance
0.57785,30.0,2.0,bayes,distance
0.6075,37.0,1.0,bayes,distance
0.6221,18.0,1.0,bayes,distance
0.57985,22.0,2.0,bayes,uniform
0.603,10.0,2.0,bayes,distance
0.62495,7.0,1.0,bayes,uniform
0.57495,28.0,2.0,bayes,uniform
0.57785,30.0,2.0,bayes,distance
0.61535,2.0,1.0,bayes,distance
0.6173,17.0,1.0,bayes,uniform
0.5518,2.0,2.0,bayes,uniform
0.59845,40.0,1.0,bayes,uniform
0.62495,7.0,1.0,bayes,uniform
0.5705,2.0,1.0,bayes,uniform
0.6212,10.0,1.0,bayes,uniform
0.6192,22.0,1.0,bayes,distance
0.62875,13.0,1.0,bayes,distance
0.63345,8.0,1.0,bayes,distance
0.61185,24.0,1.0,bayes,uniform
0.5937,2.0,2.0,bayes,distance
0.5731,40.0,2.0,bayes,distance
0.6032,33.0,1.0,bayes,uniform
0.63735,6.0,1.0,bayes,distance
0.5712,37.0,2.0,bayes,uniform
0.6089,33.0,1.0,bayes,distance
0.6151,25.0,1.0,bayes,distance
